name,type,caption,latitude,longitude,kind,tags
Смотровая площадка на Семиозерке ,Горы,"Отдел развития инфраструктуры ТИЦ Хакасии благоустроил смотровую площадку на горе Семиозёрке (Солдатская гора), откуда открывается великолепный вид на озера Ширинского района. С этой точки можно увидеть сразу семь и даже больше озер. Сейчас на площадке установлена беседка, где можно попить чай, качели, с которых открывается еще более живописный вид на озера, два лежака чтобы побыть в тишине и посмотреть на небо, и информационный стенд, благодаря которому вы сможете найти знаменитые озера и узнать о них новую информацию.Приглашаем туристов посетить обзорную площадку и насладиться видами озер Ширинского района, а также просим бережно относиться к элементам благоустройства, забирать с собой оставшийся мусор!Как найти место: заезд на смотровую площадку расположен в 400 м от развилки дорог Шира-Беле, 2км в верх по полевой дороге. В 2023 году планируется установка знаков туристской навигации на обзорную площадку.",54.498613,90.063982,семейный одиночный компанейский,"отдел развития инфраструктуры тиц хакасии благоустроил смотровую площадку на горе семиозёрке (солдатская гора), откуда открывается великолепный вид на озера ширинского района. с этой точки можно увидеть сразу семь и даже больше озер. сейчас на площадке установлена беседка, где можно попить чай, качели, с которых открывается еще более живописный вид на озера, два лежака чтобы побыть в тишине и посмотреть на небо, и информационный стенд, благодаря которому вы сможете найти знаменитые озера и узнать о них новую информацию.приглашаем туристов посетить обзорную площадку и насладиться видами озер ширинского района, а также просим бережно относиться к элементам благоустройства, забирать с собой оставшийся мусор!как найти место: заезд на смотровую площадку расположен в 400 м от развилки дорог шира-беле, 2км в верх по полевой дороге. в 2023 году планируется установка знаков туристской навигации на обзорную площадку. природа семейный одиночный компанейский"
"Парк ""Изербель""",Места отдыха,"Частная территория «Парк Изербель» — это культурное место отдыха на природе. Находится парк в лесной зоне на берегу Енисея (Майнского водохранилища), около форелевого хозяйства Изербель и искусственного пруда. Рядом расположены крупные достопримечательности: Саяно-Шушенская ГЭС, музей Ивана Ярыгина, парк Тортуга. На территории парка имеются беседки с мангалами, теплый туалет, лавочки для отдыха, смотровая площадка.
С парка открывается прекрасный вид на Саяны - горный хребет ""Борус"", а с воды прекрасный вид на скалу Мраморка, на которой занимаются скалолазанием. Гости парка могут взять на прокат весельную лодку, спокойно порыбачить. А еще можно купить форель на близлежащем форелевом хозяйстве и приготовить ее на углях.
",52.915512,91.460328,семейный одиночный компанейский,"частная территория «парк изербель» — это культурное место отдыха на природе. находится парк в лесной зоне на берегу енисея (майнского водохранилища), около форелевого хозяйства изербель и искусственного пруда. рядом расположены крупные достопримечательности: саяно-шушенская гэс, музей ивана ярыгина, парк тортуга. на территории парка имеются беседки с мангалами, теплый туалет, лавочки для отдыха, смотровая площадка.
с парка открывается прекрасный вид на саяны - горный хребет ""борус"", а с воды прекрасный вид на скалу мраморка, на которой занимаются скалолазанием. гости парка могут взять на прокат весельную лодку, спокойно порыбачить. а еще можно купить форель на близлежащем форелевом хозяйстве и приготовить ее на углях.

парк с оборудованными беседками, барбекю зоной. вход 150 руб
большая территория для прогулки.
прокат весельных лодок от 300 руб/час
смотровая площадка на горы.
беседка и мангалы от 600 руб/час
рыбалка по договоренности

парк работает ежедневно с 10:00 до 19:00 , телефон +7 (983) 377-61-77
парк изербель на карте республики хакасия — яндекс карты места отдыха семейный одиночный компанейский"
Река Белый Июс,Реки,"Бе́лый Ию́с - правая составляющая р. Чулым (бассейн Оби). По-хакасски название реки звучит как Ах-Ӱӱс: «ах» в переводе - «белый», «ӱӱс» - «река».Белый Июс берёт начало из мелких горных озёр на высоте более 1000 м на северо-восточных склонах Кузнецкого Алатау (на границе Кемеровской области и Республики Хакасии). В верховье река носит название Пихтерек. Белый Июс вместе с левой составляющей Чёрный Июс образует р. Чулым. Длина Белого Июса 224 км, площадь бассейна 5370 км2 - 8-й по площади бассейна и длине приток Чулыма. Основные притоки: Туралыг, Караташ (Кара-Тас), Тунгужуль, Тюрим (правые); Тюртек, Большая Сыя (Правая Сыя) (левые).В верховье (до села Ефремкина) река имеет горный характер, в низовье - равнинный; здесь река течёт среди холмистых степных пространств западной окраины Чулымо-Енисейской котловины.
Летом по реке Белый Июс проводят легкие прогулочные сплавы на  катамаранах",54.770167,89.748192,семейный одиночный компанейский,"бе́лый ию́с - правая составляющая р. чулым (бассейн оби). по-хакасски название реки звучит как ах-ӱӱс: «ах» в переводе - «белый», «ӱӱс» - «река».белый июс берёт начало из мелких горных озёр на высоте более 1000 м на северо-восточных склонах кузнецкого алатау (на границе кемеровской области и республики хакасии). в верховье река носит название пихтерек. белый июс вместе с левой составляющей чёрный июс образует р. чулым. длина белого июса 224 км, площадь бассейна 5370 км2 - 8-й по площади бассейна и длине приток чулыма. основные притоки: туралыг, караташ (кара-тас), тунгужуль, тюрим (правые); тюртек, большая сыя (правая сыя) (левые).в верховье (до села ефремкина) река имеет горный характер, в низовье - равнинный; здесь река течёт среди холмистых степных пространств западной окраины чулымо-енисейской котловины.
летом по реке белый июс проводят легкие прогулочные сплавы на  катамаранах природа семейный одиночный компанейский"
Пещера Археологическая,Пещеры,"Пещера Археологическая находится в Ширинском районе Хакасии на правом склоне долины реки Малая Сыя, в 1 км от села Малая Сыя, в 50 км от ж.-д. станции Шира́. Пещера была открыта в 1960-е годы спелеологом Виктором Стоценко и группой школьников-пионеров в результате разбора входного завала. Является геологическим памятником природы республиканского значения. Это карстовая пещера длиной 270 м. и глубиной 37 м., I категории сложности. В пещере обнаружены следы стоянки древнего человека, а также крупная популяция летучих мышей (около 5000 особей). Имеет природоохранное, научное, просветительское, культурно-историческое, рекреационное значение.
Пещера имеет протяженность 270 метров. Вход начинается классическим наклонным ходом в основании скалы. Катушка протяженностью около 5 метров выходит в наклонный гротик. В дальней правой части есть кольцевые ходы. Держась левой стороны, можно попасть в основной грот пещеры. Дно со следами водотоков, отложения гравитационные. Слева имеются небольшие ходы, приуроченные к тектоническим трещинам. Грот оканчивается восходящим завалом.
Археологическая пещера на карте Республики Хакасия — Яндекс Карты",54.407061,89.413991,одиночный компанейский,"пещера археологическая находится в ширинском районе хакасии на правом склоне долины реки малая сыя, в 1 км от села малая сыя, в 50 км от ж.-д. станции шира́. пещера была открыта в 1960-е годы спелеологом виктором стоценко и группой школьников-пионеров в результате разбора входного завала. является геологическим памятником природы республиканского значения. это карстовая пещера длиной 270 м. и глубиной 37 м., i категории сложности. в пещере обнаружены следы стоянки древнего человека, а также крупная популяция летучих мышей (около 5000 особей). имеет природоохранное, научное, просветительское, культурно-историческое, рекреационное значение.
пещера имеет протяженность 270 метров. вход начинается классическим наклонным ходом в основании скалы. катушка протяженностью около 5 метров выходит в наклонный гротик. в дальней правой части есть кольцевые ходы. держась левой стороны, можно попасть в основной грот пещеры. дно со следами водотоков, отложения гравитационные. слева имеются небольшие ходы, приуроченные к тектоническим трещинам. грот оканчивается восходящим завалом.
археологическая пещера на карте республики хакасия — яндекс карты пещеры одиночный компанейский"
Река Абакан,Реки,"Крупная река, протяженностью 514 километров, полностью со всем бассейном расположенная на территории Хакасии. Начало реки находится среди хребтов Западного Саяна, устье при впадении в Енисей около города Абакан. В верхнем течении Абакан - типичная горная река с узким руслом, завалами и перекатами. Около аала Усть-Сос Абакан выходит на простор степи, разбивается на множество рукавов и русел, снижает скорость течения.
Питание реки преимущественно снеговое и дождевое, из-за больших запасов снега или ливней в горах, часты паводки, пик половодья приходится на май-июнь, когда расход воды может достигать 1000 кубометров в секунду, при среднем многолетнем расходе 300 кубометров, а минимальном - 30.
Крупнейшие притоки р. Абакан - Она, Джебаш, Таштып, Аскиз, Уйбат. В верховьях реки Абакан расположен радоновый источник Горячий Ключ, популярный дикий курорт, а также несколько участков ООПТ. Река богата рыбой, а ее берега - тайгой, особенно в верховьях. В первой половине ХХ века по Абакану шел лесосплав для строительства поселений и инфраструктурных объектов. Через реку построены 4 автомобильных моста и 2 железнодорожных. Река Абакан имеет важное значение в культуре и традиционном образе жизни коренного населения.",52.963911,90.285492,семейный одиночный компанейский,"крупная река, протяженностью 514 километров, полностью со всем бассейном расположенная на территории хакасии. начало реки находится среди хребтов западного саяна, устье при впадении в енисей около города абакан. в верхнем течении абакан - типичная горная река с узким руслом, завалами и перекатами. около аала усть-сос абакан выходит на простор степи, разбивается на множество рукавов и русел, снижает скорость течения.
питание реки преимущественно снеговое и дождевое, из-за больших запасов снега или ливней в горах, часты паводки, пик половодья приходится на май-июнь, когда расход воды может достигать 1000 кубометров в секунду, при среднем многолетнем расходе 300 кубометров, а минимальном - 30.
крупнейшие притоки р. абакан - она, джебаш, таштып, аскиз, уйбат. в верховьях реки абакан расположен радоновый источник горячий ключ, популярный дикий курорт, а также несколько участков оопт. река богата рыбой, а ее берега - тайгой, особенно в верховьях. в первой половине хх века по абакану шел лесосплав для строительства поселений и инфраструктурных объектов. через реку построены 4 автомобильных моста и 2 железнодорожных. река абакан имеет важное значение в культуре и традиционном образе жизни коренного населения. природа семейный одиночный компанейский"
Горнолыжный комплекс «Черемуховый лог»,Горнолыжные комплексы,"5 марта 2018 года в Республике Хакасия, был открыт новый горнолыжный комплекс под названием «Черемуховый лог». Новый горнолыжный центр расположился рядом с поселком Черемушки, в 115 км от столицы Хакасии -- Абакана.
Горнолыжный комплекс «Черемуховый лог» расположен в уникальном климатическом месте: благодаря непосредственной близости плотины Саяно-Шушенской ГЭС, р.п. Черемушки отличается заметно более высокими температурами по сравнению с близлежащими населенными пунктами.Инфраструктуру комплекса составляют: канатно-кресельная дорога, 2 горнолыжные трассы категорий «Красная» и «Зеленая», трасса для сноутюбинга с бугельным подъемником, трасса для беговых лыж, прокат горнолыжного инвентаря, кафе.
Черёмуховый лог на карте Саяногорска — Яндекс Карты",52.852399,91.411562,одиночный компанейский,"5 марта 2018 года в республике хакасия, был открыт новый горнолыжный комплекс под названием «черемуховый лог». новый горнолыжный центр расположился рядом с поселком черемушки, в 115 км от столицы хакасии -- абакана.
горнолыжный комплекс «черемуховый лог» расположен в уникальном климатическом месте: благодаря непосредственной близости плотины саяно-шушенской гэс, р.п. черемушки отличается заметно более высокими температурами по сравнению с близлежащими населенными пунктами.инфраструктуру комплекса составляют: канатно-кресельная дорога, 2 горнолыжные трассы категорий «красная» и «зеленая», трасса для сноутюбинга с бугельным подъемником, трасса для беговых лыж, прокат горнолыжного инвентаря, кафе.
черёмуховый лог на карте саяногорска — яндекс карты горнолыжные комплексы одиночный компанейский"
Музей гидроэнергетики,Музеи,"УПИИЦ - корпоративная площадка компании ""РусГидро"" для организации непрерывной профессиональной подготовки и обмена опытом специалистов по всем направлениям деятельности, информирования и обучения школьников и студентов.
В здании Учебно-производственного информационного центра доступна организация экскурсии в музей гидроэнергетики, спроектированный с учетом новейших тенденций в области экспонирования. Уникальный дизайн интерьеров и выставочного оборудования, использование звуковых и сенсорных технологий, мультимедийных средств, сделает экскурсии и обучение интересным
Учебно-производственный инновационный центр на карте Саяногорска — Яндекс Карты",52.855035,91.423325,одиночный компанейский,"упииц - корпоративная площадка компании ""русгидро"" для организации непрерывной профессиональной подготовки и обмена опытом специалистов по всем направлениям деятельности, информирования и обучения школьников и студентов.
в здании учебно-производственного информационного центра доступна организация экскурсии в музей гидроэнергетики, спроектированный с учетом новейших тенденций в области экспонирования. уникальный дизайн интерьеров и выставочного оборудования, использование звуковых и сенсорных технологий, мультимедийных средств, сделает экскурсии и обучение интересным
учебно-производственный инновационный центр на карте саяногорска — яндекс карты музеи одиночный компанейский"
Визит-центр Саяногорска,Музеи,"Этнокультурный комплекс Ымай находится на окраине города Саяногорска, между автодорогой, ведущей на Саяно-Шушенскую ГЭС, и высоким берегом реки Енисей. Его месторасположение исторически обосновано, поскольку на местах соединения гор и степей, речных и полевых дорог русская, хакасская и казачья традиции пересекались теснее всего.
Комплекс назван  честь священной горы Ымай, расположенной на противоположном берегу Енисея. Гора-богиня Ымай -- это могучая и добрая покровительница людей, детства и материнства, священная для всего Хакасского народа. Именно к ней обращались шаманы, чтобы женщины смогли забеременеть и родить здорового ребенка. Местные жители верят, что гора Ымай исполняет желания, если обратиться к ней с почтением. Кроме того, на территории комплекса Ымай стоит мраморный обелиск с эпитафийной рунической надписью времен Кыргызского каганата. Оригинал стелы находится в Минусинском Краеведческом Музее с 1880 года, а руническая надпись была переведена востоковедом В.В. Радловым в 1898 году.
Место выхода Енисея на равнины из Саянских гор -- это место сразу для двух пограничных крепостей -- средневековой Умай Тура и Саянского Острога времен Петра I. Одно из зданий комплекса Ымай напоминает своим видом сторожевую башню Саянского Острога, а в находящейся около него избе воссоздана обстановка казачьего быта 18-19 веков. Кстати, старое название Саяногорска -- ",53.083992,91.417783,одиночный компанейский,"этнокультурный комплекс ымай находится на окраине города саяногорска, между автодорогой, ведущей на саяно-шушенскую гэс, и высоким берегом реки енисей. его месторасположение исторически обосновано, поскольку на местах соединения гор и степей, речных и полевых дорог русская, хакасская и казачья традиции пересекались теснее всего.
комплекс назван  честь священной горы ымай, расположенной на противоположном берегу енисея. гора-богиня ымай -- это могучая и добрая покровительница людей, детства и материнства, священная для всего хакасского народа. именно к ней обращались шаманы, чтобы женщины смогли забеременеть и родить здорового ребенка. местные жители верят, что гора ымай исполняет желания, если обратиться к ней с почтением. кроме того, на территории комплекса ымай стоит мраморный обелиск с эпитафийной рунической надписью времен кыргызского каганата. оригинал стелы находится в минусинском краеведческом музее с 1880 года, а руническая надпись была переведена востоковедом в.в. радловым в 1898 году.
место выхода енисея на равнины из саянских гор -- это место сразу для двух пограничных крепостей -- средневековой умай тура и саянского острога времен петра i. одно из зданий комплекса ымай напоминает своим видом сторожевую башню саянского острога, а в находящейся около него избе воссоздана обстановка казачьего быта 18-19 веков. кстати, старое название саяногорска -- означенное -- произошло от пограничного столба и указа петра 1: «означенное место есть граница государства российского». южнее саянских гор в 18 веке находилась сфера влияния китайской империи, сами же саяны считались нейтральной территорией.
туристы и гости комплекса могут узнать многие интересные традиции хакасского народа, познакомиться с казачьей культурой и историей строительства пограничных форпостов, принять участие в мастер-классах по плетению лаптей и приобрести памятные сувениры.
а совсем недавно на платформе izi.travel появился мобильный тур по саяногорскому этнокультурному комплексу ""ымай""! с помощью гида можно самостоятельно отправиться в путешествие по истории славянской и тюркской культур. музеи одиночный компанейский"
Красноярское водохранилище,Реки,"Красноярское водохранилище, или Красноярское море, - искусственный водоём, созданный на сибирской реке Енисей при строительстве Красноярской ГЭС. Оно входит в десятку крупнейших по объему воды искусственных водоёмов в мире, а в России уступает только Братскому водохранилищу, расположенному на Ангаре.
Красноярское море простирается на 400 км от г. Дивногорска до столицы республики Хакасия Абакана и занимает площадь в 2000 кв. км. Его заполнение происходило в 1967-1970 годах. Самые широкие места достигают 15 километров, а самые глубокие - 105 м. Высота уреза воды - 243 метра над уровнем моря. Объём воды колеблется от 50 до 73 кубических километров! 
Главная задача Красноярского моря - регулировать уровень воды в Енисее и обеспечивать бесперебойное движение водного транспорта по нему. Используют искусственное водохранилище и для разведения рыбы: здесь водится щука, пелядь, язь, лещ и др.
Красноярское море -- излюбленное место летнего отдыха местных жителей и гостей республики. В верховьях Енисея искусственный водоём имеет пологие берега, песчаные пляжи, удобные для купания и отдыха. Летом здесь можно покататься на водных мотоциклах, катерах, лодках. По Красноярскому морю можно совершить круиз на комфортабельном катере или яхте. Порадует водохранилище и поклонников зимнего отдыха -- сюда приезжают любители зимней рыбалки и желающие покататься на снегоходах.",53.933762,91.470518,семейный одиночный компанейский,"красноярское водохранилище, или красноярское море, - искусственный водоём, созданный на сибирской реке енисей при строительстве красноярской гэс. оно входит в десятку крупнейших по объему воды искусственных водоёмов в мире, а в россии уступает только братскому водохранилищу, расположенному на ангаре.
красноярское море простирается на 400 км от г. дивногорска до столицы республики хакасия абакана и занимает площадь в 2000 кв. км. его заполнение происходило в 1967-1970 годах. самые широкие места достигают 15 километров, а самые глубокие - 105 м. высота уреза воды - 243 метра над уровнем моря. объём воды колеблется от 50 до 73 кубических километров! 
главная задача красноярского моря - регулировать уровень воды в енисее и обеспечивать бесперебойное движение водного транспорта по нему. используют искусственное водохранилище и для разведения рыбы: здесь водится щука, пелядь, язь, лещ и др.
красноярское море -- излюбленное место летнего отдыха местных жителей и гостей республики. в верховьях енисея искусственный водоём имеет пологие берега, песчаные пляжи, удобные для купания и отдыха. летом здесь можно покататься на водных мотоциклах, катерах, лодках. по красноярскому морю можно совершить круиз на комфортабельном катере или яхте. порадует водохранилище и поклонников зимнего отдыха -- сюда приезжают любители зимней рыбалки и желающие покататься на снегоходах. природа семейный одиночный компанейский"
Улугхольский водопад,Реки,"Водопад Улуг-Холь (Улуг-Хольский) находится в Таштыпском районе на юге Хакасии недалеко от границы с Тывой. Этот каскад водопадов расположен ниже озера Улуг-Холь в 1,5 километрах от слияния водостока озера с рекой Позарым.
«Главный» водопад обрывается в Улуг-Хольское ущелье с высоты около 80 метров, затем ниже по течению водный поток образует целую серию небольших водопадов. Окружающая природа поражает первозданной красотой. Выше водопада открывается красивейшая панорама бассейна реки Каратош, величественных горных вершин Хакасии и Тывы, перевала Пограничный и озера Позарым. На склонах гор можно увидеть непуганых животных: здесь спокойно пасутся кабарга, марал, козерог и другие редкие животные. Из-за крутизны покрытых курумником склонов опытные туристы рекомендуют подходить к водопаду со стороны озера Улуг-Холь и дальше на озеро Позарым, а не наоборот. Однако и здесь следует быть осторожным, особенно в дождливую погоду. Водопад Улуг-Холь находится вдали от центров цивилизации, поэтому не разрекламирован, как следствие, мало посещаем.",51.624621,89.313354,семейный одиночный компанейский,"водопад улуг-холь (улуг-хольский) находится в таштыпском районе на юге хакасии недалеко от границы с тывой. этот каскад водопадов расположен ниже озера улуг-холь в 1,5 километрах от слияния водостока озера с рекой позарым.
«главный» водопад обрывается в улуг-хольское ущелье с высоты около 80 метров, затем ниже по течению водный поток образует целую серию небольших водопадов. окружающая природа поражает первозданной красотой. выше водопада открывается красивейшая панорама бассейна реки каратош, величественных горных вершин хакасии и тывы, перевала пограничный и озера позарым. на склонах гор можно увидеть непуганых животных: здесь спокойно пасутся кабарга, марал, козерог и другие редкие животные. из-за крутизны покрытых курумником склонов опытные туристы рекомендуют подходить к водопаду со стороны озера улуг-холь и дальше на озеро позарым, а не наоборот. однако и здесь следует быть осторожным, особенно в дождливую погоду. водопад улуг-холь находится вдали от центров цивилизации, поэтому не разрекламирован, как следствие, мало посещаем. природа семейный одиночный компанейский"
