name,type,caption,latitude,longitude,kind,tags
Смотровая площадка на Семиозерке ,горы,приглашаем туристов посетить обзорную площадку насладиться видами озер ширинского района также просим бережно относиться откуда открывается великолепный вид сможете найти знаменитые озера озера ширинского района смотровую площадку расположен увидеть сразу семь площадке установлена беседка собой оставшийся мусор развилки дорог шира-беле обзорную площадку которых открывается живописный вид найти место горе семиозёрке солдатская гора попить чай информационный стенд благодаря которому новую информацию элементам благоустройства полевой дороге озер озера точки качели лежака побыть тишине посмотреть небо узнать забирать заезд 400 м 2км верх,54.498613,90.063982,семейный одиночный компанейский,приглашаем туристов посетить обзорную площадку насладиться видами озер ширинского района также просим бережно относиться откуда открывается великолепный вид сможете найти знаменитые озера озера ширинского района смотровую площадку расположен увидеть сразу семь площадке установлена беседка собой оставшийся мусор развилки дорог шира-беле обзорную площадку которых открывается живописный вид найти место горе семиозёрке солдатская гора попить чай информационный стенд благодаря которому новую информацию элементам благоустройства полевой дороге озер озера точки качели лежака побыть тишине посмотреть небо узнать забирать заезд 400 м 2км верх горы семейный одиночный компанейский
"Парк ""Изербель""",места отдыха,— это культурное место отдыха рядом расположены крупные достопримечательности территории парка имеются беседки гости парка могут взять около форелевого хозяйства изербель парка открывается прекрасный вид воды прекрасный вид музей ивана ярыгина которой занимаются скалолазанием прокат весельную лодку близлежащем форелевом хозяйстве парк изербель частная территория находится парк лесной зоне берегу енисея майнского водохранилища искусственного пруда саяно-шушенская гэс парк тортуга теплый туалет смотровая площадка горный хребет скалу мраморка спокойно порыбачить купить форель отдыха природе мангалами лавочки саяны борус приготовить углях,52.915512,91.460328,семейный одиночный компанейский,— это культурное место отдыха рядом расположены крупные достопримечательности территории парка имеются беседки гости парка могут взять около форелевого хозяйства изербель парка открывается прекрасный вид воды прекрасный вид музей ивана ярыгина которой занимаются скалолазанием прокат весельную лодку близлежащем форелевом хозяйстве парк изербель частная территория находится парк лесной зоне берегу енисея майнского водохранилища искусственного пруда саяно-шушенская гэс парк тортуга теплый туалет смотровая площадка горный хребет скалу мраморка спокойно порыбачить купить форель отдыха природе мангалами лавочки саяны борус приготовить углях места отдыха семейный одиночный компанейский
Река Белый Июс,реки,верховье река носит название пихтерек по-хакасски название реки звучит северо-восточных склонах кузнецкого алатау длина белого июса 224 км река имеет горный характер белый июс берёт начало белый июс вместе мелких горных озёр границе кемеровской области длине приток чулыма правая составляющая р площадь бассейна 5370 км2 площади бассейна правая сыя бе́лый ию́с бассейн оби республики хакасии основные притоки большая сыя села ефремкина река верховье белый чулым ах-ӱӱс переводе ӱӱс высоте 1000 м 8-й туралыг караташ кара-тас тунгужуль тюрим правые тюртек левые низовье равнинный летом катамаранах,54.770167,89.748192,семейный одиночный компанейский,верховье река носит название пихтерек по-хакасски название реки звучит северо-восточных склонах кузнецкого алатау длина белого июса 224 км река имеет горный характер белый июс берёт начало белый июс вместе мелких горных озёр границе кемеровской области длине приток чулыма правая составляющая р площадь бассейна 5370 км2 площади бассейна правая сыя бе́лый ию́с бассейн оби республики хакасии основные притоки большая сыя села ефремкина река верховье белый чулым ах-ӱӱс переводе ӱӱс высоте 1000 м 8-й туралыг караташ кара-тас тунгужуль тюрим правые тюртек левые низовье равнинный летом катамаранах реки семейный одиночный компанейский
Пещера Археологическая,пещеры,1960-е годы спелеологом виктором стоценко также крупная популяция летучих мышей вход начинается классическим наклонным ходом результате разбора входного завала грот оканчивается восходящим завалом слева имеются небольшие ходы пещера имеет протяженность 270 метров основной грот пещеры ширинском районе хакасии села малая сыя i категории сложности дальней правой части держась левой стороны пещера археологическая находится имеет природоохранное кольцевые ходы станции шира́ группой школьников-пионеров глубиной 37 м около 5000 особей рекреационное значение основании скалы наклонный гротик следами водотоков отложения гравитационные тектоническим трещинам пещера 1 км 50 км открыта научное просветительское культурно-историческое попасть дно приуроченные,54.407061,89.413991,одиночный компанейский,1960-е годы спелеологом виктором стоценко также крупная популяция летучих мышей вход начинается классическим наклонным ходом результате разбора входного завала грот оканчивается восходящим завалом слева имеются небольшие ходы пещера имеет протяженность 270 метров основной грот пещеры ширинском районе хакасии села малая сыя i категории сложности дальней правой части держась левой стороны пещера археологическая находится имеет природоохранное кольцевые ходы станции шира́ группой школьников-пионеров глубиной 37 м около 5000 особей рекреационное значение основании скалы наклонный гротик следами водотоков отложения гравитационные тектоническим трещинам пещера 1 км 50 км открыта научное просветительское культурно-историческое попасть дно приуроченные пещеры одиночный компанейский
Река Абакан,реки,традиционном образе жизни коренного населения около аала усть-сос абакан выходит река абакан имеет важное значение енисей около города абакан питание реки преимущественно снеговое из-за больших запасов снега также несколько участков оопт первой половине хх века реку построены 4 автомобильных моста среднем многолетнем расходе 300 кубометров верхнем течении абакан типичная горная река река богата рыбой всем бассейном расположенная снижает скорость течения пик половодья приходится крупнейшие притоки р популярный дикий курорт абакану шел лесосплав крупная река достигать 1000 кубометров протяженностью 514 километров территории хакасии узким руслом простор степи множество рукавов часты паводки расход воды строительства поселений инфраструктурных объектов абакан полностью устье впадении завалами перекатами разбивается русел дождевое ливней горах май-июнь секунду минимальном джебаш таштып аскиз уйбат берега тайгой особенно верховьях 2 железнодорожных культуре,52.963911,90.285492,семейный одиночный компанейский,традиционном образе жизни коренного населения около аала усть-сос абакан выходит река абакан имеет важное значение енисей около города абакан питание реки преимущественно снеговое из-за больших запасов снега также несколько участков оопт первой половине хх века реку построены 4 автомобильных моста среднем многолетнем расходе 300 кубометров верхнем течении абакан типичная горная река река богата рыбой всем бассейном расположенная снижает скорость течения пик половодья приходится крупнейшие притоки р популярный дикий курорт абакану шел лесосплав крупная река достигать 1000 кубометров протяженностью 514 километров территории хакасии узким руслом простор степи множество рукавов часты паводки расход воды строительства поселений инфраструктурных объектов абакан полностью устье впадении завалами перекатами разбивается русел дождевое ливней горах май-июнь секунду минимальном джебаш таштып аскиз уйбат берега тайгой особенно верховьях 2 железнодорожных культуре реки семейный одиночный компанейский
Горнолыжный комплекс «Черемуховый лог»,горнолыжные комплексы,новый горнолыжный центр расположился рядом открыт новый горнолыжный комплекс уникальном климатическом месте близлежащими населенными пунктами инфраструктуру комплекса составляют 2 горнолыжные трассы категорий прокат горнолыжного инвентаря черемушки отличается заметно горнолыжный комплекс поселком черемушки 5 марта 2018 года республике хакасия черемуховый лог столицы хакасии высокими температурами канатно-кресельная дорога бугельным подъемником беговых лыж названием 115 км абакана расположен сравнению красная зеленая трасса сноутюбинга кафе,52.852399,91.411562,одиночный компанейский,новый горнолыжный центр расположился рядом открыт новый горнолыжный комплекс уникальном климатическом месте близлежащими населенными пунктами инфраструктуру комплекса составляют 2 горнолыжные трассы категорий прокат горнолыжного инвентаря черемушки отличается заметно горнолыжный комплекс поселком черемушки 5 марта 2018 года республике хакасия черемуховый лог столицы хакасии высокими температурами канатно-кресельная дорога бугельным подъемником беговых лыж названием 115 км абакана расположен сравнению красная зеленая трасса сноутюбинга кафе горнолыжные комплексы одиночный компанейский
Музей гидроэнергетики,музеи,организации непрерывной профессиональной подготовки корпоративная площадка компании обмена опытом специалистов всем направлениям деятельности учетом новейших тенденций уникальный дизайн интерьеров обучения школьников музей гидроэнергетики области экспонирования выставочного оборудования использование звуковых сенсорных технологий мультимедийных средств сделает экскурсии обучение интересным упииц русгидро информирования студентов спроектированный,52.855035,91.423325,одиночный компанейский,организации непрерывной профессиональной подготовки корпоративная площадка компании обмена опытом специалистов всем направлениям деятельности учетом новейших тенденций уникальный дизайн интерьеров обучения школьников музей гидроэнергетики области экспонирования выставочного оборудования использование звуковых сенсорных технологий мультимедийных средств сделает экскурсии обучение интересным упииц русгидро информирования студентов спроектированный музеи одиночный компанейский
Визит-центр Саяногорска,музеи,саянского острога времен петра i высоким берегом реки енисей казачья традиции пересекались теснее гора ымай исполняет желания этнокультурный комплекс ымай находится оригинал стелы находится окраине города саяногорска месторасположение исторически обосновано полевых дорог русская противоположном берегу енисея добрая покровительница людей женщины смогли забеременеть родить здорового ребенка местные жители верят минусинском краеведческом музее место выхода енисея двух пограничных крепостей средневековой умай тура старое название саяногорска местах соединения гор это место сразу гора-богиня ымай это могучая саянских гор саяно-шушенскую гэс хакасского народа обращались шаманы руническая надпись переведена востоковедом находящейся около автодорогой ведущей поскольку степей речных хакасская расположенной детства материнства священная именно обратиться почтением кроме 1880 года радловым 1898 году равнины одно кстати,53.083992,91.417783,одиночный компанейский,саянского острога времен петра i высоким берегом реки енисей казачья традиции пересекались теснее гора ымай исполняет желания этнокультурный комплекс ымай находится оригинал стелы находится окраине города саяногорска месторасположение исторически обосновано полевых дорог русская противоположном берегу енисея добрая покровительница людей женщины смогли забеременеть родить здорового ребенка местные жители верят минусинском краеведческом музее место выхода енисея двух пограничных крепостей средневековой умай тура старое название саяногорска местах соединения гор это место сразу гора-богиня ымай это могучая саянских гор саяно-шушенскую гэс хакасского народа обращались шаманы руническая надпись переведена востоковедом находящейся около автодорогой ведущей поскольку степей речных хакасская расположенной детства материнства священная именно обратиться почтением кроме 1880 года радловым 1898 году равнины одно кстати музеи одиночный компанейский
Красноярское водохранилище,реки,обеспечивать бесперебойное движение водного транспорта сюда приезжают любители зимней рыбалки объему воды искусственных водоёмов столицы республики хакасия абакана главная задача красноярского моря высота уреза воды объём воды колеблется регулировать уровень воды сибирской реке енисей строительстве красноярской гэс используют искусственное водохранилище поклонников зимнего отдыха красноярское море простирается уровнем моря гостей республики красноярское водохранилище красноярское море порадует водохранилище искусственный водоём оно входит десятку крупнейших россии уступает братскому водохранилищу занимает площадь заполнение происходило 1967-1970 годах самые глубокие 73 кубических километров разведения рыбы водится щука песчаные пляжи водных мотоциклах красноярскому морю совершить круиз комфортабельном катере желающие покататься отдыха покататься созданный мире расположенному ангаре 400 км дивногорска 2000 кв 105 м 243 метра енисее нему пелядь язь лещ удобные купания летом катерах лодках яхте снегоходах,53.933762,91.470518,семейный одиночный компанейский,обеспечивать бесперебойное движение водного транспорта сюда приезжают любители зимней рыбалки объему воды искусственных водоёмов столицы республики хакасия абакана главная задача красноярского моря высота уреза воды объём воды колеблется регулировать уровень воды сибирской реке енисей строительстве красноярской гэс используют искусственное водохранилище поклонников зимнего отдыха красноярское море простирается уровнем моря гостей республики красноярское водохранилище красноярское море порадует водохранилище искусственный водоём оно входит десятку крупнейших россии уступает братскому водохранилищу занимает площадь заполнение происходило 1967-1970 годах самые глубокие 73 кубических километров разведения рыбы водится щука песчаные пляжи водных мотоциклах красноярскому морю совершить круиз комфортабельном катере желающие покататься отдыха покататься созданный мире расположенному ангаре 400 км дивногорска 2000 кв 105 м 243 метра енисее нему пелядь язь лещ удобные купания летом катерах лодках яхте снегоходах реки семейный одиночный компанейский
Улугхольский водопад,реки,окружающая природа поражает первозданной красотой величественных горных вершин хакасии водопад улуг-холь находится вдали юге хакасии недалеко высоты около 80 метров увидеть непуганых животных спокойно пасутся кабарга другие редкие животные слияния водостока озера стороны озера улуг-холь водопад улуг-холь водопад обрывается озера позарым таштыпском районе рекой позарым улуг-хольское ущелье затем ниже перевала пограничный склонах гор озеро позарым дождливую погоду центров цивилизации мало посещаем находится улуг-хольский границы тывой 5 километрах главный тывы марал козерог водопаду дальше наоборот однако следует осторожным особенно поэтому разрекламирован следствие,51.624621,89.313354,семейный одиночный компанейский,окружающая природа поражает первозданной красотой величественных горных вершин хакасии водопад улуг-холь находится вдали юге хакасии недалеко высоты около 80 метров увидеть непуганых животных спокойно пасутся кабарга другие редкие животные слияния водостока озера стороны озера улуг-холь водопад улуг-холь водопад обрывается озера позарым таштыпском районе рекой позарым улуг-хольское ущелье затем ниже перевала пограничный склонах гор озеро позарым дождливую погоду центров цивилизации мало посещаем находится улуг-хольский границы тывой 5 километрах главный тывы марал козерог водопаду дальше наоборот однако следует осторожным особенно поэтому разрекламирован следствие реки семейный одиночный компанейский
